#time	 xpos	 ypos
0.00304	0.26325	 -0.22296	0.49189	 0.12469	0.55956	 -0.25851	0.11753	 -0.10766	0.25789	 0.66464	
0.00310	0.26666	 -0.23007	0.50016	 0.16039	0.55927	 -0.24573	0.12777	 -0.09705	0.26865	 0.68797	
0.00315	0.28211	 -0.22605	0.52710	 0.16125	0.56842	 -0.23211	0.11530	 -0.08882	0.25869	 0.69323	
0.00320	0.27650	 -0.19755	0.53065	 0.16448	0.55108	 -0.23180	0.14758	 -0.10635	0.26445	 0.68800	
0.00325	0.27895	 -0.21206	0.54030	 0.17028	0.56045	 -0.20999	0.16206	 -0.09784	0.26253	 0.65712	
0.00331	0.28452	 -0.20847	0.54819	 0.17472	0.59068	 -0.22146	0.17092	 -0.11506	0.25732	 0.66007	
0.00336	0.32139	 -0.21079	0.57446	 0.20811	0.59811	 -0.21972	0.19534	 -0.10839	0.26229	 0.68479	
0.00341	0.34308	 -0.19520	0.58182	 0.21508	0.59499	 -0.19065	0.19145	 -0.08990	0.24776	 0.66498	
0.00346	0.32015	 -0.20645	0.57720	 0.22153	0.59779	 -0.19134	0.18732	 -0.03894	0.24079	 0.65135	
0.00352	0.32194	 -0.19119	0.58564	 0.26002	0.60787	 -0.21510	0.18088	 -0.03351	0.24033	 0.63842	
0.00357	0.32933	 -0.17863	0.59691	 0.26394	0.61510	 -0.22013	0.18836	 -0.00132	0.23380	 0.63461	
0.00362	0.33964	 -0.17744	0.59663	 0.27056	0.62154	 -0.23833	0.19371	 -0.00452	0.22758	 0.63784	
0.00367	0.33052	 -0.16667	0.58619	 0.26041	0.61014	 -0.25389	0.17714	 -0.00361	0.23913	 0.64931	
0.00373	0.32989	 -0.17384	0.57850	 0.24432	0.61283	 -0.26543	0.18172	 -0.01694	0.24044	 0.61368	
0.00378	0.33131	 -0.17515	0.55248	 0.22762	0.60280	 -0.25171	0.18671	 -0.01624	0.27099	 0.64021	
0.00383	0.33486	 -0.16047	0.56521	 0.22279	0.57720	 -0.28020	0.21241	 -0.00419	0.27341	 0.63356	
0.00388	0.35430	 -0.15540	0.56486	 0.20465	0.56642	 -0.26479	0.20034	 -0.00812	0.27986	 0.62079	
0.00394	0.33597	 -0.17515	0.54898	 0.22166	0.57553	 -0.25621	0.18298	 0.00831	0.27721	 0.63987	
0.00399	0.31652	 -0.17406	0.52281	 0.23366	0.57388	 -0.26295	0.18094	 -0.01182	0.27230	 0.63274	
0.00404	0.30651	 -0.16031	0.55168	 0.22878	0.57600	 -0.26409	0.18721	 -0.04430	0.24937	 0.61654	
0.00409	0.30196	 -0.16478	0.56115	 0.22257	0.58310	 -0.24081	0.17781	 -0.05270	0.26878	 0.64279	
0.00415	0.29585	 -0.17334	0.54450	 0.23520	0.59193	 -0.24481	0.18255	 -0.06416	0.25683	 0.63821	
0.00420	0.26179	 -0.16741	0.57248	 0.24417	0.61431	 -0.24102	0.16644	 -0.07019	0.26983	 0.64562	
0.00425	0.28020	 -0.18609	0.54705	 0.24100	0.56925	 -0.23964	0.16209	 -0.08423	0.28268	 0.63582	
0.00430	0.28267	 -0.20657	0.54398	 0.23741	0.56104	 -0.23365	0.17685	 -0.06881	0.28880	 0.62608	
0.00436	0.30088	 -0.20697	0.54415	 0.23181	0.55690	 -0.21393	0.16664	 -0.04213	0.28641	 0.63088	
